filegroup_id,test_code,test_side,era,working_mode_label,structure_intrusion_score,lower_extremity_score,restraint_kinematics_score,head_neck_chest_score,ri_100,harshness_proxy_z,seat_response_proxy_z
2576,CEN1536,driver,2015-2017,mode_0,0.82067280082224,0.17436691299345472,0.0,1.297838295731277,0.4982194608558106,0.2402450050827017,0.23412737895198368
2577,CEN1537,driver,2015-2017,mode_0,0.09620017202806896,0.030567522912458716,-0.141224016147102,1.3993372903893968,0.4698035581424958,-0.25799997097311844,-0.12824016373322564
2578,CEN1549,driver,2015-2017,mode_0,0.0,0.9938728859787357,0.7035944525684514,-0.3363834375244457,0.5325674296947174,0.030209122306817895,1.1180193966843808
2584,CN15005,passenger,2015-2017,mode_0,-0.11544020643368276,0.06301584656957566,0.12769666154271314,1.6911527502215276,0.5002327911140146,0.16753831683038678,-0.07316439417573672
2585,CEN1542,driver,2015-2017,mode_0,-0.2705484032731295,-0.15875623365492209,0.2553933230854263,-0.4325302978024834,0.5182950593071324,-0.050433516087470105,0.1758021457926815
2586,CEN1546,driver,2015-2017,mode_0,2.2126768232905882,2.171013482429809,0.7145961790057819,0.5070246586349809,0.3672184357710141,0.957166055799874,1.499305673388983
2587,CN15006,passenger,2015-2017,mode_0,-0.4810008601403449,0.776803895408412,-0.41014469383691715,0.14414469526255402,0.5325197852726505,-0.0417136659042219,-0.01058653010494778
2589,CN15007,passenger,2015-2017,mode_0,-0.38480068811227586,-0.3032045599236584,-0.37208825819080904,0.03254747203604001,0.6303749128431083,-0.4150497812957209,0.08071642805917766
2593,CEN1602,driver,2015-2017,mode_0,3.2130857457375037,2.25211883131506,-0.7171218071728404,-0.3705226774053895,0.5137403264118199,0.47488644338140085,2.1532411513018586
2594,CEN1605,driver,2015-2017,mode_0,0.4685756086138051,-0.05380703851690055,-1.4317179861786222,0.2554818523131281,0.4481768753923349,-0.4876199226434593,-0.001305638127344154
2609,CEN1601,driver,2015-2017,mode_0,1.955202275274294,2.4584762568023915,-0.4997849197335222,-0.20310622570529965,0.41056643867769643,0.95152910432288,4.15353131099328
2610,CEN1606,driver,2015-2017,mode_0,1.5439026910520357,1.9960712182568976,0.7403880741310304,-0.2030924811317537,0.3777561934308402,0.7667049978252958,0.915793958579166
2613,CEN1451,driver,2015-2017,mode_0,-0.4254062897712746,-0.3621577885471505,-0.7429137022980888,-0.01702838621983414,0.5854065495221155,-0.22748077548470536,-0.06162686852813236
2684,CEN1603,driver,2015-2017,mode_0,0.07812390408336654,0.3699589462360122,0.9074039854033809,0.060498319993465687,0.5877388891730299,1.5955814409384281,0.47297841896917325
2687,CEN1607,driver,2015-2017,mode_0,-0.4040407225178897,-0.46910074955253184,-0.7551782428189484,0.42638313959960317,0.5178963222927433,-0.003721357357036603,0.0037697518665053484
2698,CEN1612,driver,2015-2017,mode_0,0.5712709967673363,0.3495333414904051,0.0,0.14728699723172375,0.5168985426763102,-0.12096688807254048,0.2362261670729635
2704,CEN1608,driver,2015-2017,mode_0,-0.4057378763091572,0.4055083802740376,0.0380564356461081,0.05739725174493369,0.5701654182630947,-0.08217352965792749,0.10483561203680933
