working_mode_label,test_side,row_count,dimension,era,make_model_family
mode_0,,1,make_model_family,,Lexus NX 200t
mode_0,,1,make_model_family,,Lexus RC 350
mode_0,,1,make_model_family,,Lexus RX
mode_0,,1,make_model_family,,Lexus RZ
mode_0,,1,make_model_family,,Lincoln MKS
mode_0,,1,make_model_family,,Lincoln MKX
mode_0,,1,make_model_family,,Lincoln MKZ
mode_0,,1,make_model_family,,Mazda 2
mode_0,,1,make_model_family,,Mazda 3
mode_0,,1,make_model_family,,Mazda 5
mode_0,,1,make_model_family,,Mazda CX 3
mode_0,,1,make_model_family,,Mazda CX 30
mode_0,,1,make_model_family,,Mazda CX 50
mode_0,,1,make_model_family,,Mazda CX90
mode_0,,1,make_model_family,,Mercedes Benz C 300
mode_0,,1,make_model_family,,Mercedes Benz E 350
mode_0,,1,make_model_family,,Mercedes Benz ML 350
mode_0,,1,make_model_family,,Mini Cooper
mode_0,,1,make_model_family,,Mini Cooper Countryman
mode_0,,1,make_model_family,,Mistubishi Outlander
mode_0,,1,make_model_family,,Mitsubishi Lancer
mode_0,,1,make_model_family,,Mitsubishi Mirage
mode_0,,1,make_model_family,,Nissa Altima
mode_0,,1,make_model_family,,Nissan Ariya
mode_0,,1,make_model_family,,Nissan Juke
mode_0,,1,make_model_family,,Nissan Kicks
mode_0,,1,make_model_family,,Nissan Leaf
mode_0,,1,make_model_family,,Nissan Murano
mode_0,,1,make_model_family,,Nissan Quest
mode_0,,1,make_model_family,,Nissan Versa
mode_0,,1,make_model_family,,Ram 1500 Crew cab
mode_0,,1,make_model_family,,Rivian R1S
mode_0,,1,make_model_family,,Rivian R1T
mode_0,,1,make_model_family,,Scion FR S
mode_0,,1,make_model_family,,Scion iA
mode_0,,1,make_model_family,,Scion tC
mode_0,,1,make_model_family,,Scion xB
mode_0,,1,make_model_family,,Subaru Ascent
mode_0,,1,make_model_family,,Subaru BRZ
mode_0,,1,make_model_family,,Subaru Crosstrek
mode_0,,1,make_model_family,,Subaru Solterra
mode_0,,1,make_model_family,,Subaru WRX
mode_0,,1,make_model_family,,Suzuki Kizashi
mode_0,,1,make_model_family,,Tesla Model Y
mode_0,,1,make_model_family,,Toyota Avalon
mode_0,,1,make_model_family,,Toyota C HR
mode_0,,1,make_model_family,,Toyota Crown
mode_0,,1,make_model_family,,Toyota Crown Signia
mode_0,,1,make_model_family,,Toyota Grand Highlander
mode_0,,1,make_model_family,,Toyota Yaris
mode_0,,1,make_model_family,,Volkswagen Arteon
mode_0,,1,make_model_family,,Volkswagen Beetle
mode_0,,1,make_model_family,,Volkswagen CC
mode_0,,1,make_model_family,,Volkswagen GTI
mode_0,,1,make_model_family,,Volkswagen ID.4
mode_0,,1,make_model_family,,Volvo EX90
mode_0,,1,make_model_family,,Volvo S80
mode_0,,1,make_model_family,,Volvo S90
mode_0,,1,make_model_family,,Volvo XC40
mode_0,,1,make_model_family,,Volvo XC40 Recharge
mode_1,,1,make_model_family,,Honda Accord 2 door
mode_1,,1,make_model_family,,Honda Accord 4 door
mode_1,,1,make_model_family,,Honda Civic 2 door
mode_1,,1,make_model_family,,Honda Civic 4 Door
mode_1,,1,make_model_family,,Hyundai Sonata
mode_1,,1,make_model_family,,Volvo XC 60
